Month,BL,Lab Location,Customer Name,Score,Reason
Jan-17,IS,Delhi,ABB INDIA LTD,7,"ABB is utilizing Intertek manpower for QA/QC services in various sites and satisfied with the services, however at times the deployment is delayed in spite of urgency"
Jan-17,IS,Mumbai,METITO POLLUTION CONTROL INDIA PVT. LTD.,8,All our Inspection request were promptly attended by Intertek Inspection Team. ideally we would have given 9 points but deducted 1 point because of approach by your sales dept they seem to be less Customer focus oriented
Jan-17,IS,Delhi,UOP,8,Engineer competency excellent. Delay in reporting
Jan-17,C & P,Mumbai,Aurobindo Pharma Ltd,8,"Customer is satisfied with service. During visit to safety lab, client observed some safety related points and they are expecting to take more precaution during powder handling. Discarding SOP need to prepared on the basis of technical feasibility"
Jan-17,C & P,Mumbai,torrent pharma,8,Customer is happy with TAT. Customer expecting the more clarity on technical aspect. Customer wants exact information about procedure followed for analysis for their records and documentation
Jan-17,Agri,Tuticorin,INDIAN POTASH LTD,8,No issues with job executed. Need our team to provide information about final survey
Jan-17,Agri,Tuticorin,BHOOMI IMPEX,8,Happy with services but still this score since for recent job client had requested for Inspector & we were unable to send.
Jan-17,Agri,Kolkata,CONCORD FORTUNE MINERALS (INDIA) PVT LTD,8,Reporting should be little fast. Rest services are fine.
Jan-17,Agri,Kolkata, HEMRAJ INDUSTRIES PVT LTD,8,Services provided are satisfactory. But costing per manday basis is high compare to other inspection companies.
Jan-17,Agri,Haldia,Bunge India Pvt Ltd,8,Happy with services but still want to score 8.
Jan-17,Agri,Mumbai,PALADIA CORPORATION,8,Satisfied with services still want to give score of 8.
Jan-17,Agri,Delhi,ALLIANCE GRAIN TRADERS (INDIA) PVT LTD,8,"Job executed smoothly. Information required is provided by staff but takes sometime, not available on immediate basis"
Jan-17,Agri,Hyderabad,ICRISAT,8,Client is happy with services provided so far
Jan-17,Electrical,Delhi,Arraystorm Lighting Pvt Ltd,8,"Customer observed delay in transportation, as customer is from Bangalore and Intertek - Delhi Lab is far away from his location"
Jan-17,Electrical,Delhi,Future Retail Limited,8,Services are good but customer feels local representative should visit them to coordinate as telephonic conversation is not enough. Otherwise Intertek team is good.
Jan-17,Electrical,Delhi,AB Mobile Alliance(MSAI),8,Well coordinating & always give results on time
Jan-17,Electrical,Delhi,Quality Products of India,8,No bad experience & smooth work with Intertek. But as per him always there should be some scope of improvement so 02 score is deducted
Jan-17,Electrical,Mumbai Chandiwali,Sterlite technologies,8,There was a invoice related issue -two times. No issues regarding inspection
Jan-17,Electrical,Mumbai Chandiwali,COROB INDIA PVT LTD MUMBAI,8,He was busy and gave 8 and closed the call
Jan-17,Electrical,Mumbai Chandiwali,Crompton Greaves Ahmedanagar,8,TAT good. Service Good. ...He is associated with us for first time
Jan-17,Electrical,Bangalore,BUTTERFLY GANDHIMATHI APPLIANCES LTD KANCHIPURAM,8,Slow response in report delivery.
Jan-17,Electrical,Bangalore,SCHNEIDER ELECTRIC INDIA PVT. LTD GOA,8,"Slow response in delivering report from Intertek, USA."
Jan-17,Electrical,Bangalore,PRICOL TECHNOLOGIES LTD,8,Customer found cooperation and coordination from Intertek which is quite good .But improvement needs to be taken care about the commitment as slight delay in delivering reports
Jan-17,SL,Gurgaon,Modelama Exports,8,Happy with the services. It was also communicated to take the feedback related to testing from merchants going forward.
Jan-17,SL,Gurgaon,Superglitz,8,Happy with services
Jan-17,SL,Gurgaon,Globe India,8,Ok with services
Jan-17,SL,Gurgaon,Jawandsons,8,Happy with services. Praised for clear and transparent commnuncation
Jan-17,SL,Gurgaon,The Choice Fashion,8,Happy with services. Good Response. Rare cases of report delays. Comparatively better service than others.
Jan-17,SL,Gurgaon,ITC Ltd,8,Happy with the services.
Jan-17,SL,Gurgaon,Jm footwear,8,Happy with the services.
Jan-17,SL,Gurgaon,Sanya International,8,Happy with the services.
Jan-17,SL,Tirupur,Dixcy Textiles,8,"Honest reports / Faced some issues in report alignments, Got revised reports 2 or 3 times for report format."
Jan-17,SL,Tirupur,TKL KNITS (INDIA) PVT. LTD,8,Good service / No issues at all
Jan-17,SL,Tirupur,SCM Garments,8,Currently doing with Toys R Us & Marks & spencer test submissions & no issues with that. Now we started the testing for Verbaudant & Landmark - Expecting the same support as well.
Jan-17,SL,Tirupur,Barani Fabrics,8,Good to work
Jan-17,SL,Mumbai,ANK DSYNS,8,Happy withe services but initial vendor registeration in our software process found to be very time consuming and reminders are sent for negligible amount.Though registered in online payment but because of this process earlier had delays in report
Jan-17,SL,Mumbai,Shoppers stop,8,Services are good till date no issues for higher rating may require some more time
Jan-17,SL,Bangalore,TATA TRENT-Fiora Services Ltd,8,"Good services ,just started business with Intertek ,so reason rated 8"
Jan-17,Hardlines,Gurgaon,RA OVERSEAS,8,Happy with services
Jan-17,Hardlines,Gurgaon,SNB,8,Happy with services
Jan-17,Cargo/AA,Paradip,SEATRANS MARINE PVT LTD,8,No issues. Happy with services provided
Jan-17,Cargo/AA,Paradip,INDIAN OIL CORPORATION LTD,8,Training to be provided on regular basis to surveyors attending the jobs. Other wise happy with work
Jan-17,Cargo/AA,Jamnagar,ST ANTHONY ENTERPRISES,8,Services are good. No issues. But still like to give 8 score.
Jan-17,Cargo/AA,Jamnagar,PRAKASH CHEM INTPVT LTD,8,Accuracy of results. Had encounter one error in report which was rectify later on.
Jan-17,Cargo/AA,Mangalore,Samudra Marine Services Pvt. Ltd,8,Coordination needs to be improved. Otherwise happy with services provided
Jan-17,Food,Hyderabad, Tata Coffee Limited,8,"sometimes we are getting reports in time, sometimes it was delaying"
Jan-17,Food,Hyderabad,Pernord Ricard India Pvt.Ltd.,8,Even though they are ready to pay invoices are not sending in time
Jan-17,Food,Hyderabad,Adama India Ltd,8,No issues
Jan-17,Food,Hyderabad,"Plant Lipids (P) Ltd, Condiments Division",8,Nice experience with us and some more parameters as per their request are not covering in our NABL Scope
Jan-17,Food,Hyderabad,Godrej Tyson Foods Ltd,8,No queries
Jan-17,Food,Hyderabad,Sushi pet (Susheela Agro),8,"prompt response, no deviations."
Jan-17,Food,Delhi,Prakash Flexible,8,client is happy with the services and smooth coordination with team
Jan-17,Food,Delhi,Ind Auto Filters,8,"Auditors are experiened,qualified,trained and help to add additional information to improve quality"
Jan-17,Food,Delhi,Unitriveni Overseas,8,"auditor is knowlegeable, interactions went well and are also sound technically"
Jan-17,Food,Delhi,Chamong Tea,8,auditor is very knowlegeable & Skillful and very knowlegeable
Jan-17,Food,Delhi,K.N Food Industries,8,services are good & smooth operations
Jan-17,Food,Delhi,Prahladrai Confectionery,8,services provided are good & communication is very smooth
Jan-17,Food,Delhi,Daawat Foods,8,"Auditing team are very experiened & skillful, thereby help in improving there internal proccesses"
Jan-17,Food,Delhi,Clarion Foods,8,Response time is very efficient & quick.Highly satisfied with Overall services.
Jan-17,Food,Gurgaon,Hexagon Nutrition Pvt. Ltd.,8,"Service is Ok, submitted sample for analysis but not received report and payment is also cleared."
Jan-17,Food,Gurgaon,"""Symrise """,8,"""Few times report with wrong product name issued but also take more time for amended reports and also invoices are delayed and due to invoices delayed they also have to face internal problems for clearing the invoice etc."""
Jan-17,Food,Gurgaon,Dancing Bees,8,"Services are good. Everything okay, there always a scope of improvement."
Jan-17,Food,Gurgaon,Watanmal (India) Private Limited,8,Everything is okay. At times slight delay in the reports.
Jan-17,Food,Gurgaon,"""Tata Chemicals Limited """,8,"Services are great however, sometimes tat is not met."
Jan-17,Food,Gurgaon,"""Maja Health Care Division (VI-John Group) """,8,"Services our good we're satisfied, however slight issues with invoices."
Jan-17,GTS,Mumbai,TOONZ RETAIL INDIA PVT LTD,8,Overall we are satisfied and there is good coordination. Pricing can be better
Jan-17,GTS,Mumbai,PREM GRANITES & MARBLE,8,"As advised previously, multiple invoices issued on the same date bear a different exchange rate"
Jan-17,GTS,Mumbai,NCRAZE CERAMIC LLP,8,"There are a lot of errors in the draft CoC. Also, please use only Maruti Fasttrack for delivery"
Jan-17,GTS,Mumbai,EMAMI INTERNATIONAL FZE,8,Services are satisfactory
Jan-17,GTS,Mumbai,RISING STAR EXIM PRIVATE LTD,8,We have had very few inspections and we get good service. One experience with the assessment officer was not good
Jan-17,GTS,Mumbai,SUNSHINE TILES COMPANY PVT LTD.,8,We would like to coordinate with only one person for all matters. Dealing with multiple people creates delays in coordination.
Jan-17,GTS,Mumbai,ITC Limited,8,"Sometimes when we ask for certain data, there are delays. Otherwise, service and response is good."
Jan-17,BA,Delhi,(Udaipur Mineral Development Syndicate Pvt. Ltd)Golcha Minerals Pvt.Ltd,8,"Though he liked the TFS audit which we have done last month. But he would rate us as 8 because this is the first time client has associated with Intertek. He would prefer us for the next time also. Also as per him, there are things which mentioned in documents are not practically possible. So the auditors need to understand this also."
Jan-17,BA,Panchkula,Sun Industrial Services,8,Auditor is very prompt. Mr. Prashant has recommended me to ITS. He gave me lots of ideas to improve all the process. But as a suggestion I need to say that for issues certificate you are delaying too much. Till date I didn't got my certificate for this audit. If you reduce the time than it will be very helpful to us. please issues the certificate at the earliest
Feb-17,Electrical,Delhi,EASUN MR TAP CHANGERS P LTD CHENNAI,7,Customer did not get revert of whatever feedback he has given & experienced delay in reply
Feb-17,Electrical,Delhi,AXIS ELECTRICAL COMPONENTS (I) PVT. LTD.,7,"Customer is dealing with Intertek since last 4-5 years. This particular electrical ageing test for IPC was done 4-5 years back with Intertek. But Intertek's NABL scope does not have this test till now. Otherwise, customer is satisfied with Intertek and it's staff."
Feb-17,Food,Gurgaon,"""Kashmir Honey Traders, """,7,"billing is a big problem, big hurdle, you don’t co relate, Invoices are not sent on time."
Feb-17,Food,Gurgaon,"""Alpla India Pvt. Ltd. """,7,"""Payment delay. There are some flaws on our end as well as your end. We are not getting hard copies on time."""
Feb-17,Food,Delhi,RF Exports,7,Services are Excellent + smooth communications
Feb-17,Food,Hyderabad,Archeesh Labotratories-Himalaya Drug Company,7,Delay in reporting  
Feb-17,Food,Hyderabad, Ms.Durga Bhavani bhavanibaddi,7,Delay in reporting  
Feb-17,Food,Hyderabad,Vantage Nutrition LLP,7,Delay in reporting 20-25 days
Feb-17,C&P,Mumbai,Neuland laboratories Limited,7,"Customer is happy with results. As per customer remark, customer want confirmation mail/communication for receipt of sample/PO etc"
Feb-17,SL,Tirupur,Warrior Garments,7,Good /No issues to say
Feb-17,SL,Mumbai,Reliance Industries Ltd,7,"Only require to maintain the lead time of the report,report should not exceed given due date and we should follow for the report"
Feb-17,SL,Gurgaon,Superglitz,7,Happy with services.
Feb-17,SL,Gurgaon,IndoChine India P Ltd,7,Its Fine. Not very exvellent. Overall good
Feb-17,SL,Gurgaon,Sel Manufacturing co.Ltd.,7,Going Good now. Earlier there were delay in reports. Mistakes in editing in the report.
Feb-17,HL,Gurgaon,Ceela International,7,Happy with services. Requested to send inspectors who can understand hindi and also can communicate properly.
Feb-17,HL,Gurgaon,Harmony Overseas,7,Unhappy with the process of intertek . Registration delays . Timely information are not given if any thing is missing during registration. Tentative PI is not going to vendor immediately after registration . He gets only final invoice where he finds number of tests are more so as the cost. Requested for initial PI .
Feb-17,GTS,Mumbai,Godrej & Boyce Mfg Co Ltd. (Bhiwadi),7,Resource is new but improving well.
Feb-17,GTS,Mumbai,NATIONAL CONTRACTING CO LTD,7,Corrections made on draft CoC are not noted and the same error is repeated.
Feb-17,GTS,Mumbai,CEAT LIMITED,7,"There is a delay in issuing certificates. Competitors are issuing CoC in 1 day. Also, your charges are higher than your competitors"
Feb-17,Cargo/AA,Mangalore,Mangalore refinery & Petrochemicals Ltd - mangalore,8,No issues or problems working with Intertek but still like to give 8.
Feb-17,Cargo/AA,Mumbai Chandivali,DEEPWATER PACIFIC 1 INC,8,Services provided are good. But communication can be further enhanced.
Feb-17,Cargo/AA,Mumbai Chandivali,NEPTUNUS POWER PLANT SERVICES PVT LTD,8,Services provided are good. Sometimes small errors in report.
Feb-17,Cargo/AA,Mumbai Chandivali,TRANSOCEAN OFFSHORE INTL VENTURES LTD,8,Services provided are good. Communication can be further enhanced
Feb-17,Cargo/AA,Mumbai Chandivali,CHEMIZOL ADDITIVES PVT LTD,8,"Overall good experience but face issue for information sharing. As India team doesn’t have information & needs to get from UK team each time, which is time consuming"
Feb-17,Cargo/AA,Mumbai Chandivali,JINZHOU DPF TH CHEMICALS CO LTD,8,"Overall good experience but face issue for information sharing. As India team doesn’t have information & needs to get from UK team each time, which is time consuming"
Feb-17,Cargo/AA,Mumbai Chandivali,Quaker Chemical India Ltd.,8,Happy with job performed. No issues but still want to give score of 8 since client feels its a good score.
Feb-17,Cargo/AA,Mumbai Chandivali,Pyrotech Workspace Solutions Pvt Ltd,8,There was delay is issuing Final report. Minor corrections were required. Rest everything okay.
Feb-17,Cargo/AA,Kandla,PRAKASH CHEM INT PVT LTD,8,Overall satisfied with services but still want to give score 8.
Feb-17,Cargo/AA,Kandla,HARESH OVERSEAS PRIVATE LIMITED,8,Satisfied with inspection job performed but later on faced some issues in invoice. Hence score of 8.
Feb-17,Agri,Indore,Ruchi Soya Industries Ltd,8,satisfied with report / services still want to give 8 score
